F77_15.43_100689_1929_A,F77_15.43_100689_1929,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_100689_2,PJILPAJF_02020,CDS,1149.0,sasA_6,2.7.-.-,,Adaptive-response sensory-kinase SasA,0.276453046629561
F77_15.43_10663_2572_C,F77_15.43_10663_2572,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_10663_1,PJILPAJF_01308,CDS,2148.0,susB_2,3.2.1.3,,"Glucan 1,4-alpha-glucosidase SusB",0.598164853131984
F77_15.43_10663_2749_A,F77_15.43_10663_2749,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_10663_2,PJILPAJF_01309,CDS,1779.0,,,,hypothetical protein,0.581265008765535
F77_15.43_10663_5903_T,F77_15.43_10663_5903,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_10663_3,PJILPAJF_01310,CDS,1497.0,,,,hypothetical protein,0.209611387151097
F77_15.43_10939_950_T,F77_15.43_10939_950,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_10939_1,PJILPAJF_01326,CDS,975.0,,,,hypothetical protein,0.752803819285551
F77_15.43_10939_953_G,F77_15.43_10939_953,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_10939_1,PJILPAJF_01326,CDS,975.0,,,,hypothetical protein,0.752803819285551
F77_15.43_10939_957_A,F77_15.43_10939_957,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_10939_1,PJILPAJF_01326,CDS,975.0,,,,hypothetical protein,0.752803819285551
F77_15.43_10939_968_T,F77_15.43_10939_968,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_10939_1,PJILPAJF_01326,CDS,975.0,,,,hypothetical protein,0.619299259547685
F77_15.43_10939_2859_G,F77_15.43_10939_2859,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_10939_3,PJILPAJF_01328,CDS,696.0,ftsZ_2,,,Cell division protein FtsZ,0.921963171837906
F77_15.43_10939_2905_C,F77_15.43_10939_2905,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_10939_3,PJILPAJF_01328,CDS,696.0,ftsZ_2,,,Cell division protein FtsZ,0.866098518873712
F77_15.43_10939_2946_C,F77_15.43_10939_2946,F77_15.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella mizrahii,F77_15.43_10939_3,PJILPAJF_01328,CDS,696.0,ftsZ_2,,,Cell division protein FtsZ,0.528033003168644
